"region","scenario","landuse","year","LU_frac"
"China","Reference_CI_IPSL","forest","2035",1473.95335582
"China","Reference_CI_IPSL","forest","2040",1494.6008615
"China","Reference_CI_IPSL","forest","2045",1523.27153861
"China","Reference_CI_IPSL","forest","2050",1549.97317618
"China","Reference_CI_IPSL","forest","2055",1582.89013008
"China","Reference_CI_IPSL","forest","2060",1618.54551058
"China","Reference_CI_IPSL","forest","2065",1649.94302405
"China","Reference_CI_IPSL","forest","2070",1681.07696415
"China","Reference_CI_IPSL","forest","2075",1705.75765421
"China","Reference_CI_IPSL","forest","2080",1726.14872806
"China","Reference_CI_IPSL","forest","2085",1743.42278781
"China","Reference_CI_IPSL","forest","2090",1757.82678921
"China","Reference_CI_IPSL","forest","2095",1768.871317
"China","Reference_CI_IPSL","forest","2100",1776.3279014
"China","Reference_CI_IPSL","grass","1990",921.7964665
"China","Reference_CI_IPSL","grass","2005",981.636706
"China","Reference_CI_IPSL","grass","2010",1002.923587
"China","Reference_CI_IPSL","grass","2015",1003.833955
"China","Reference_CI_IPSL","grass","2020",998.36265
"China","Reference_CI_IPSL","grass","2025",985.427803
"China","Reference_CI_IPSL","grass","2030",982.11051
"China","Reference_CI_IPSL","grass","2035",978.6635868
"China","Reference_CI_IPSL","grass","2040",977.0093633
